step	prot1	prot2	score	diff	var	prevScore	prevDiff	prevVar
3	protein0002	protein0045	3.3206	11.0264	33.0792	0	0	0
4	protein0071	protein0026	2.49945	6.24727	24.9891	0	0	0
5	protein0092	protein0001	1.98799	3.9521	19.7605	0	0	0
6	protein0026	protein0056	1.66122	2.75964	16.5578	0	0	0
7	protein0071	protein0075	1.41928	2.01437	14.1006	0	0	0
8	protein0033	protein0088	1.22918	1.5109	12.0872	0	0	0
9	protein0000	protein0053	1.10931	1.23057	11.0751	0	0	0
10	protein0099	protein0055	0.998727	0.997456	9.97456	0	0	0
11	protein0076	protein0021	0.902659	0.814794	8.96273	0	0	0
12	protein0033	protein0093	0.953208	0.669842	8.21973	0.13477	0.000181628	0.199791
13	protein0006	protein0043	0.764811	0.584937	7.60418	0	0	0
14	protein0083	protein0098	0.713055	0.508447	7.11826	0	0	0
15	protein0012	protein0058	0.662549	0.438972	6.58458	0	0	0
16	protein0038	protein0089	0.62441	0.389887	6.2382	0	0	0
17	protein0051	protein0025	0.582407	0.339198	5.76637	0	0	0
18	protein0032	protein0039	0.551944	0.304642	5.48355	0	0	0
19	protein0035	protein0049	0.522533	0.27304	5.18777	0	0	0
20	protein0029	protein0065	0.49384	0.243878	4.87756	0	0	0
