step	prot1	prot2	score	diff	var	prevScore	prevDiff	prevVar
3	protein0049	protein0093	3.33151	2.77475	33.297	4.99727	24.9727	49.9455
4	protein0014	protein0090	4.7765	2.535	30.439	6.36867	2.81133	30.4485
5	protein0018	protein0010	3.8981	2.20319	28.495	2.41378	0.64737	23.3053
6	protein0018	protein0010	3.24841	0.422087	25.3285	3.8981	2.20319	28.495
7	protein0058	protein0062	3.85079	0.99584	23.3714	2.85287	0.325555	19.6807
8	protein0045	protein0090	3.4602	0.755033	22.8823	2.59127	1.01269	19.6491
9	protein0055	protein0062	3.88939	0.431716	21.4008	3.23234	0.213225	20.0176
10	protein0055	protein0062	3.50045	0.151273	20.5357	3.88939	0.431716	21.4008
11	protein0020	protein0022	3.25821	0.358215	20.4754	2.6597	0.0873334	18.3723
12	protein0020	protein0022	3.70511	0.19972	21.0107	3.25821	0.358215	20.4754
13	protein0020	protein0022	3.4201	0.0812298	20.3158	3.70511	0.19972	21.0107
14	protein0020	protein0022	3.17581	0.0596791	19.5885	3.4201	0.0812298	20.3158
15	protein0020	protein0022	2.96409	0.0448257	18.8617	3.17581	0.0596791	19.5885
16	protein0055	protein0062	2.78981	0.208097	18.3739	2.33363	0.0277849	16.1189
17	protein0055	protein0062	2.6257	0.0269309	17.6833	2.78981	0.208097	18.3739
18	protein0055	protein0062	2.47983	0.0212787	17.0262	2.6257	0.0269309	17.6833
19	protein0007	protein0080	3.08184	0.0293139	16.4145	3.25305	0.149009	16.7903
20	protein0007	protein0080	2.92774	0.0237443	16.0255	3.08184	0.0293139	16.4145
